county_state,fips,sex,sex_code,year,cause_of_death,cod_code,place_of_death,place_of_death_code,deaths,median_income,population,poverty_rate,unemployment_rate,facility_count,overdose_rate,facility_rate
"Fresno County, CA",06019,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,42.0,74201,1016725,18.3,8.7,8.0,4.130910521527453,0.7868400993385625
"Fresno County, CA",06019,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Other,7.0,32.0,74201,1016725,18.3,8.7,8.0,3.14736039735425,0.7868400993385625
"Fresno County, CA",06019,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,28.0,74201,1016725,18.3,8.7,8.0,2.753940347684969,0.7868400993385625
"Fresno County, CA",06019,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,10.0,74201,1016725,18.3,8.7,8.0,0.9835501241732031,0.7868400993385625
"Fresno County, CA",06019,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,17.0,74201,1016725,18.3,8.7,8.0,1.6720352110944456,0.7868400993385625
"Fresno County, CA",06019,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,25.0,74201,1016725,18.3,8.7,8.0,2.458875310433008,0.7868400993385625
"Humboldt County, CA",06023,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,11.0,61160,134541,18.7,9.0,6.0,8.175946365791841,4.459607108613731
"Kern County, CA",06029,Female,F,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,20.0,70210,915075,19.1,8.6,12.0,2.1856132011037346,1.3113679206622408
"Kern County, CA",06029,Female,F,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Other,7.0,11.0,70210,915075,19.1,8.6,12.0,1.202087260607054,1.3113679206622408
"Kern County, CA",06029,Female,F,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,11.0,70210,915075,19.1,8.6,12.0,1.202087260607054,1.3113679206622408
"Kern County, CA",06029,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,27.0,70210,915075,19.1,8.6,12.0,2.9505778214900418,1.3113679206622408
"Kern County, CA",06029,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,20.0,70210,915075,19.1,8.6,12.0,2.1856132011037346,1.3113679206622408
"Kern County, CA",06029,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Medical Facility - Outpatient or ER,2.0,11.0,70210,915075,19.1,8.6,12.0,1.202087260607054,1.3113679206622408
"Kern County, CA",06029,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,51.0,70210,915075,19.1,8.6,12.0,5.573313662814524,1.3113679206622408
"Kern County, CA",06029,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Other,7.0,27.0,70210,915075,19.1,8.6,12.0,2.9505778214900418,1.3113679206622408
"Kern County, CA",06029,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,34.0,70210,915075,19.1,8.6,12.0,3.7155424418763485,1.3113679206622408
"Kern County, CA",06029,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,22.0,70210,915075,19.1,8.6,12.0,2.404174521214108,1.3113679206622408
"Kern County, CA",06029,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,47.0,70210,915075,19.1,8.6,12.0,5.136191022593777,1.3113679206622408
"Kern County, CA",06029,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,40.0,70210,915075,19.1,8.6,12.0,4.371226402207469,1.3113679206622408
"Lake County, CA",06033,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,14.0,60621,68152,17.0,11.1,2.0,20.542317173377157,2.9346167390538795
