"Notes","County","County Code","Sex","Sex Code","Year","Year Code","Cause of death","Cause of death Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Pima County, AZ","04019","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Inpatient","1",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pinal County, AZ","04021","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pinal County, AZ","04021","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pinal County, AZ","04021","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Yavapai County, AZ","04025","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Benton County, AR","05007","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
